study_hours_per_day,phone_usage_hours,social_media_hours,youtube_hours,gaming_hours,breaks_per_day,coffee_intake_mg,assignments_completed,attendance_percentage,focus_score,sleep_hours,stress_level,exercise_minutes,productivity_score,productivity_label
6.68,9.8,7.54,1.34,3.08,12,104,1,59.7,87,6.81,3.0,45.5,69.34941033864257,Medium
5.79,8.03,4.09,0.42,4.52,1,57,4,50.91,77,7.935,6.5,72.5,59.94139956216563,Medium
6.7,11.17,2.26,3.33,2.94,2,168,19,60.01,80,5.359999999999999,7.5,58.0,87.9970432590225,High
4.61,3.13,6.76,2.43,2.27,3,499,5,40.5,32,8.09,4.0,36.0,45.8592133283603,Low
4.42,1.89,4.81,3.79,5.98,13,103,19,94.71,70,6.945,6.5,53.0,87.07239171445012,High
1.62,7.8,0.73,0.21,4.86,4,159,4,98.42,33,7.71,7.5,70.0,51.77184653878243,Medium
6.42,11.01,4.28,3.84,4.09,2,235,1,94.13,47,5.050000000000001,7.5,53.0,37.31912260847629,Low
2.17,9.44,5.14,5.59,5.93,3,169,9,44.19,65,7.355,4.5,85.0,61.26633491972463,Medium
6.87,5.23,0.14,4.93,0.38,3,72,14,48.52,61,5.105,7.0,38.5,63.10959345936978,Medium
9.69,5.46,4.4,2.07,4.02,10,67,14,89.64,62,7.155,5.5,71.5,89.63469673928498,High
2.94,4.32,2.91,0.66,1.17,9,186,1,69.88,99,5.640000000000001,7.0,72.5,52.57785531855448,Medium
1.85,11.05,3.65,3.23,4.12,4,171,0,43.56,97,6.32,4.5,39.0,50.35130802016101,Medium
0.73,9.83,0.87,1.7,0.97,13,261,3,59.49,31,6.595,5.5,77.0,18.50978109488349,Low
4.1,3.58,4.02,0.06,4.15,3,475,11,61.87,93,8.585,5.0,46.0,84.28999609980964,High
2.54,4.19,7.88,2.45,0.93,6,173,19,78.51,45,6.385,7.5,78.5,68.14030481725224,Medium
5.17,9.01,5.9,3.24,5.26,5,460,13,43.84,48,6.484999999999999,9.0,65.5,41.99526584696209,Low
5.48,5.38,7.42,4.65,5.53,10,266,0,94.18,31,5.585,4.5,85.0,34.51786913389127,Low
3.82,7.51,2.22,5.88,2.71,6,360,11,45.32,89,7.845000000000001,6.0,63.5,73.98458487037196,High
7.62,2.29,3.06,5.2,0.92,14,490,6,62.81,31,6.13,7.5,72.5,60.29311434635593,Medium
9.1,10.01,5.19,3.25,3.04,7,466,14,42.29,58,5.635,4.5,29.5,53.30599000730852,Medium
2.51,6.9,5.92,4.84,0.61,14,61,17,75.74,71,6.92,3.5,71.5,77.15526136850382,High
8.44,10.0,2.43,4.98,2.87,13,422,8,93.89,69,6.9350000000000005,6.0,38.5,66.34654169226012,Medium
1.75,8.72,2.78,5.8,2.72,1,414,19,92.55,36,8.2,6.0,69.5,68.63100456471635,Medium
2.67,5.43,1.05,1.48,1.4,12,318,6,67.38,47,7.91,7.0,31.5,48.57234162710837,Low
5.83,8.33,5.43,1.51,3.99,5,450,13,52.89,37,5.4,4.0,55.5,58.29817911477959,Medium
3.41,1.19,2.79,1.31,0.01,14,127,6,52.3,59,5.890000000000001,5.0,17.5,58.79842318212378,Medium
0.9,5.52,1.11,5.41,4.94,12,457,9,48.27,91,7.345,7.0,88.0,60.030982959685424,Medium
3.3,5.51,5.07,4.1,0.95,2,79,2,73.23,39,7.845,8.0,81.5,48.71089136188297,Low
9.1,5.34,0.1,0.84,1.04,8,412,7,52.2,84,7.13,4.5,40.0,100.0,High
2.16,1.85,7.6,5.77,3.93,5,425,2,67.99,78,5.63,4.0,71.5,52.02859032914385,Medium
7.76,6.1,5.13,3.63,4.43,11,498,5,98.35,50,7.125,6.5,28.0,70.66892190490417,Medium
7.36,9.26,4.86,0.01,2.9,14,29,12,48.01,87,7.439999999999999,7.0,87.0,80.40724905435364,High
1.51,4.21,5.18,2.62,3.27,1,458,9,60.08,96,5.75,5.5,80.5,67.46723225812734,Medium
3.63,9.91,2.53,4.64,0.37,11,273,8,86.49,79,8.105,2.5,69.5,98.8968607300144,High
2.3,7.23,1.87,1.86,4.19,11,120,8,63.72,51,6.4350000000000005,6.0,54.0,41.33193110312343,Low
0.72,8.83,4.29,4.03,3.82,11,65,17,73.9,32,5.775,5.0,19.5,25.47831752974458,Low
2.14,10.82,7.55,4.31,0.92,6,443,4,42.01,60,7.859999999999999,4.0,52.5,38.42375509631764,Low
2.41,6.05,2.25,4.97,0.48,13,125,0,46.14,62,7.154999999999999,7.0,34.0,50.476921129219406,Medium
2.08,10.22,5.73,3.48,1.56,4,115,5,72.68,57,5.619999999999999,4.0,92.0,37.07977631215379,Low
1.37,2.11,7.79,1.15,0.36,5,224,3,43.86,51,5.355,5.5,70.0,38.08994341023845,Low
5.5,9.45,4.4,5.05,1.72,6,366,7,92.0,93,8.184999999999999,4.5,46.0,86.94425276911869,High
3.57,10.09,3.67,1.1,3.15,14,12,10,90.69,87,5.33,7.0,36.5,57.41442526329732,Medium
9.13,10.89,5.98,2.75,3.45,9,356,18,40.12,38,9.025,4.0,61.5,61.03982415052122,Medium
2.28,1.43,1.13,0.54,5.64,13,108,17,43.88,59,8.094999999999999,4.0,47.0,72.4100244716905,High
6.23,1.85,0.26,0.96,2.19,4,284,9,87.03,90,6.135,4.0,67.5,83.39072653083329,High
9.06,0.76,2.81,1.15,0.05,5,77,3,81.91,96,8.485,3.0,80.0,85.20161917411514,High
0.95,6.32,6.7,4.32,0.12,1,198,0,45.17,91,6.85,7.5,18.0,48.91745501682903,Low
5.4,2.72,0.62,1.32,2.89,14,195,18,52.43,64,6.84,4.5,71.5,99.5037251824532,High
4.78,7.03,4.73,3.07,1.69,6,82,13,56.21,83,6.234999999999999,3.5,72.5,72.31104205458644,High
9.32,10.76,0.41,4.06,1.02,8,218,13,74.06,75,5.300000000000001,6.5,66.0,81.63385353361427,High
6.81,4.26,4.01,3.3,3.45,1,96,7,58.8,32,7.38,5.0,79.0,71.59150965119765,Medium
3.82,0.56,1.04,3.96,0.62,6,49,4,53.12,42,6.255,7.5,28.0,52.65407562979189,Medium
7.26,10.73,4.86,5.4,3.65,14,3,4,58.03,70,6.885,5.5,67.5,63.637563953285465,Medium
6.04,7.65,2.48,5.8,5.41,6,220,6,98.34,79,5.955,5.0,76.5,56.99320985544234,Medium
3.8,2.82,2.97,4.1,0.54,11,492,7,62.86,35,5.655,5.0,55.5,78.03452891143229,High
7.96,8.46,0.5,1.12,5.85,2,411,13,83.09,47,8.33,6.0,101.0,76.30078194632566,High
6.85,7.78,6.21,5.88,3.42,10,413,16,65.56,51,8.62,8.0,57.5,62.26717212006184,Medium
0.55,4.87,4.82,0.42,1.34,12,280,17,45.37,66,7.57,5.0,86.5,70.63375266714813,Medium
8.72,2.94,4.65,5.57,2.38,6,365,12,47.19,92,5.965,4.5,58.5,83.68365321089499,High
4.27,11.91,5.26,2.71,2.82,9,361,10,66.84,72,4.875,6.5,92.5,62.38909069894176,Medium
6.63,7.89,5.31,5.05,0.5,13,274,0,89.31,41,7.435,2.5,87.0,66.94455196164861,Medium
4.27,0.52,2.82,2.04,4.15,13,476,11,55.97,98,6.425,6.5,47.0,78.12018989042963,High
8.87,1.94,2.2,3.37,5.42,13,454,8,72.38,50,6.785,7.0,73.5,64.78355784761777,Medium
6.68,3.35,2.38,0.85,5.21,13,179,16,78.98,88,8.57,6.0,82.5,70.86644171492995,Medium
6.0,9.85,6.49,5.43,2.6,10,365,7,96.03,54,7.165,5.0,71.5,57.88225375475264,Medium
9.81,5.96,1.36,1.8,0.1,1,488,19,67.86,87,7.955,4.0,37.0,98.31532393290688,High
3.17,1.19,3.89,1.57,5.88,14,462,18,60.05,53,4.91,8.0,45.5,38.65440615388856,Low
1.12,3.55,5.01,2.67,0.51,1,365,16,76.14,33,7.88,5.5,80.0,50.61825001929128,Medium
5.4,11.78,4.13,2.19,4.58,12,165,18,57.81,38,8.595,7.5,92.0,48.05168758598702,Low
4.53,9.33,4.43,0.83,1.85,13,143,1,62.71,31,6.32,8.5,56.5,20.382258504289283,Low
4.82,0.55,6.71,0.15,5.33,11,402,1,64.13,63,9.085,2.5,27.0,63.73626823305322,Medium
6.39,10.15,2.64,1.93,5.43,1,145,14,65.34,47,7.484999999999999,3.0,63.5,72.77001179947158,High
6.34,2.71,2.77,4.32,2.26,4,210,12,48.14,36,7.8,7.5,70.0,78.8811460210335,High
4.23,4.3,1.33,1.13,2.06,14,460,14,46.38,88,8.27,3.0,69.5,85.26879567259707,High
8.7,1.86,6.0,1.03,5.42,10,190,9,64.74,96,7.0,5.0,85.0,85.70455532272156,High
6.69,0.62,1.66,3.19,4.0,14,102,14,44.73,35,5.02,5.5,43.0,72.5617778912032,High
8.95,6.3,4.16,4.03,0.12,3,365,6,67.26,33,6.949999999999999,5.0,37.0,55.80067734698232,Medium
9.17,3.79,6.83,5.92,0.63,4,16,6,96.71,62,6.24,4.5,84.0,75.10843040205546,High
2.09,4.64,0.79,0.5,0.73,6,327,10,74.98,53,6.109999999999999,3.0,43.0,72.89832074648314,High
6.97,2.44,1.35,2.78,5.99,10,64,8,40.64,37,4.57,8.0,42.0,44.36953665604384,Low
3.52,9.77,1.47,5.81,1.86,14,268,10,69.4,71,7.7,4.5,36.0,53.43854445513826,Medium
8.45,2.5,1.08,3.86,1.07,10,174,18,46.6,92,5.615,4.5,60.0,91.81893391999206,High
7.46,6.45,7.56,3.9,5.83,11,497,2,68.01,70,9.04,6.0,51.5,59.31715844677867,Medium
2.39,5.9,5.92,5.39,2.13,1,155,2,98.46,74,8.27,4.5,25.5,58.78700039789591,Medium
9.42,11.08,3.64,2.04,1.27,5,81,11,96.86,40,6.65,4.5,60.5,47.527991378440746,Low
6.99,11.86,2.38,3.29,4.4,10,305,8,65.43,99,6.58,2.5,85.0,86.62854903431119,High
9.51,10.92,0.92,2.81,4.64,1,250,11,95.38,71,7.65,4.5,89.0,94.71594401338542,High
2.42,8.94,0.19,2.05,5.21,8,382,1,43.82,45,6.04,5.5,82.5,37.91127183663349,Low
8.76,5.45,5.2,5.3,0.7,14,173,13,49.25,48,6.17,7.5,52.5,67.45666970916172,Medium
6.85,2.0,4.04,2.51,1.4,5,105,0,51.51,57,5.609999999999999,3.5,46.0,56.37765714143475,Medium
5.75,10.5,4.74,0.85,5.11,10,312,11,43.21,59,5.29,4.5,50.0,50.29271766862471,Medium
8.29,8.74,1.34,0.93,4.4,8,167,7,76.88,56,5.445,7.5,68.5,72.66816702021951,High
6.51,2.02,4.71,0.69,4.17,6,267,13,74.84,87,5.995,6.0,61.5,81.78553780448676,High
6.86,1.51,1.64,4.47,3.74,14,375,18,74.92,66,8.045,5.5,46.5,98.96106809952298,High
2.91,8.25,0.33,5.77,5.31,8,185,10,55.74,95,5.154999999999999,4.0,36.0,74.67566954461074,High
8.26,10.92,6.98,1.45,2.12,13,60,19,79.28,33,6.88,5.5,86.5,52.73915615794306,Medium
6.68,2.96,6.62,0.3,4.74,6,222,19,42.89,81,6.495,7.0,44.0,86.0625170430346,High
8.52,5.24,4.71,0.76,2.09,8,486,1,53.73,38,6.42,6.5,64.5,44.6978115215764,Low
3.84,11.59,7.32,4.43,4.76,10,471,19,96.94,93,7.45,5.0,77.5,74.30803857574558,High
3.65,11.38,6.18,4.78,0.85,1,59,0,40.88,41,7.275,4.0,55.5,40.52355065646123,Low
0.73,8.54,2.2,2.09,3.79,14,15,7,47.51,58,6.875,4.5,55.0,46.91247426722512,Low
7.8,5.95,7.32,0.05,1.54,13,101,14,98.22,59,8.855,5.5,89.5,63.69086980744733,Medium
3.64,4.79,3.11,5.2,1.44,6,322,1,88.44,70,7.56,6.5,61.0,63.77442977865003,Medium
3.61,5.0,7.87,0.55,0.16,11,272,8,82.87,72,5.68,8.0,49.0,52.4000824199082,Medium
7.04,6.31,5.58,0.92,5.38,1,181,9,97.36,77,6.79,4.0,61.0,71.0803741412307,Medium
2.9,8.41,1.67,1.48,4.24,11,350,15,50.63,96,6.984999999999999,4.5,79.5,93.7891274916546,High
9.14,6.38,3.16,3.81,5.2,8,91,14,67.77,50,7.48,6.0,41.0,75.34079649967707,High
5.61,3.14,5.32,2.1,4.75,5,366,11,50.49,47,6.640000000000001,5.0,77.0,79.62208609303886,High
9.71,9.16,6.31,0.27,2.37,13,356,19,84.48,77,8.085,6.5,52.0,96.97618961336433,High
1.23,5.71,4.61,4.56,4.33,4,109,14,91.0,40,7.324999999999999,6.0,54.5,55.2579626832507,Medium
3.7,7.09,5.92,3.32,0.56,3,373,7,91.72,88,8.78,3.5,67.5,76.69236075521492,High
4.12,9.42,3.85,4.98,4.25,6,65,17,65.74,57,7.979999999999999,4.0,57.5,65.77242935653277,Medium
7.44,4.92,2.28,0.39,5.56,14,407,17,87.44,67,7.984999999999999,5.0,68.0,78.2776300003914,High
2.52,11.19,5.64,5.71,5.63,8,380,16,97.39,50,5.17,5.5,62.0,36.14063165317804,Low
4.07,6.37,6.6,0.62,1.51,11,496,18,77.13,95,6.13,3.0,53.0,75.62547080105088,High
9.15,8.59,2.54,3.35,3.22,3,355,0,91.17,70,6.455,6.5,72.5,55.67268551731766,Medium
1.59,9.18,3.42,3.12,0.9,1,492,8,86.55,43,7.225,6.5,83.5,56.93794046298413,Medium
7.58,4.69,2.7,5.35,3.87,14,414,5,59.12,44,7.42,3.5,44.5,75.5902869689117,High
7.17,3.47,1.16,3.37,1.77,7,120,1,94.79,38,8.68,2.0,96.5,71.89494229210027,Medium
1.74,11.12,6.13,1.67,2.91,9,43,5,90.64,66,7.255,5.0,45.5,37.40014578039961,Low
7.04,4.11,4.08,1.03,0.32,10,102,13,54.44,43,6.12,4.0,85.5,70.54515623189667,Medium
5.91,1.76,1.3,1.56,1.97,12,115,2,44.49,33,6.2,5.0,62.0,63.36744336725523,Medium
3.23,6.2,2.77,1.62,5.8,12,131,16,70.56,45,6.98,4.0,67.0,67.92779257535015,Medium
3.46,9.98,5.93,1.27,4.24,14,92,17,52.1,69,8.03,8.0,97.0,59.76716979535605,Medium
8.41,3.74,3.03,1.4,1.39,3,415,12,69.54,65,8.535,4.0,104.5,90.14164450739644,High
2.69,6.18,0.57,5.14,0.21,7,16,11,92.56,75,5.605,8.0,55.5,76.05723749741907,High
5.37,4.66,0.84,5.22,4.0,9,395,16,44.28,39,7.26,2.0,97.0,75.57196835007448,High
6.97,0.78,7.98,3.19,5.53,12,338,2,48.63,31,7.359999999999999,3.5,78.5,51.34675748958735,Medium
1.73,2.08,3.42,5.49,3.51,5,129,6,50.3,38,4.925,4.0,80.5,68.62642692256497,Medium
9.36,9.67,5.09,3.03,2.59,4,270,8,90.29,62,8.620000000000001,6.0,45.0,72.97550022895865,High
2.98,11.25,4.95,3.6,4.96,11,362,4,45.22,79,7.85,4.5,73.0,42.689836935634816,Low
3.53,0.55,1.33,5.96,3.06,1,441,16,58.65,94,6.6,8.5,59.0,75.13425102063317,High
6.83,10.4,3.19,2.24,5.33,8,379,6,42.32,62,7.524999999999999,5.0,30.0,51.85737302592266,Medium
1.24,8.82,5.72,3.77,3.99,1,404,0,86.34,44,7.625,5.5,26.0,33.775798177032165,Low
6.46,8.38,3.4,4.1,0.29,12,307,6,78.45,58,6.779999999999999,6.5,73.0,70.32774488440812,Medium
9.2,5.45,4.71,3.57,3.72,8,290,18,51.05,64,6.890000000000001,6.5,45.0,77.81482142422043,High
2.87,4.31,2.97,1.89,2.44,5,191,4,53.83,90,8.379999999999999,7.0,82.0,56.21406655960197,Medium
3.94,5.22,2.12,5.53,3.05,6,246,18,47.1,66,7.56,4.5,16.0,76.29874622386066,High
2.71,7.42,0.15,5.38,3.76,14,326,8,70.78,76,4.984999999999999,8.5,39.5,58.62084860036615,Medium
8.28,11.39,3.39,5.71,4.87,3,65,16,45.91,88,8.275,7.5,71.0,77.05804482848438,High
2.09,2.88,3.17,2.28,1.27,9,280,6,50.05,91,6.620000000000001,4.5,71.0,66.34442236476269,Medium
3.79,11.7,3.68,5.33,2.27,8,362,5,69.82,39,7.1850000000000005,5.5,50.5,52.555312817562765,Medium
6.21,3.18,0.05,3.79,0.78,5,102,19,84.07,67,7.1850000000000005,8.5,78.0,77.7194630850703,High
4.34,10.23,4.14,5.98,3.04,10,283,1,56.89,74,6.08,6.5,71.5,47.33596224525972,Low
1.12,8.09,0.94,2.45,3.61,3,103,3,53.41,40,5.565,7.0,75.5,13.611946069340146,Low
9.5,9.07,3.97,0.03,0.34,10,25,6,85.28,51,7.07,6.5,32.5,70.1865756046307,Medium
3.71,10.06,2.74,3.03,2.66,13,21,3,55.17,35,5.965,6.5,101.0,44.49794361475754,Low
4.73,0.64,0.35,3.23,1.4,7,283,1,81.48,44,8.355,5.0,77.0,72.31677338336742,High
2.09,8.83,1.32,2.78,3.26,10,156,8,70.95,67,5.279999999999999,8.0,18.0,36.240802522412295,Low
8.72,11.95,2.06,2.44,3.73,1,213,1,70.36,59,6.279999999999999,4.0,36.0,71.21208450698865,Medium
3.27,6.19,1.87,1.32,3.82,8,261,16,68.94,66,5.4350000000000005,4.5,55.0,67.0522487863251,Medium
0.69,6.73,4.83,4.38,0.1,12,147,10,44.76,65,6.3100000000000005,6.5,43.0,46.68845416553652,Low
3.51,1.72,0.35,3.19,2.2,1,428,8,97.96,43,8.825,2.5,80.0,73.4779639298764,High
9.85,4.42,3.55,0.63,2.93,7,272,2,68.01,35,6.285,4.0,62.0,73.06426646877411,High
1.9,7.54,6.53,0.6,4.31,4,309,1,65.17,88,7.574999999999999,3.5,59.0,72.08983172242002,High
0.8,1.88,2.28,4.66,0.45,6,283,19,45.66,46,7.11,4.5,52.5,92.97419886838884,High
5.99,4.33,4.84,3.51,5.55,14,467,4,64.8,39,5.895,4.5,18.0,52.892656093737614,Medium
4.03,4.5,7.38,3.03,0.38,4,83,14,84.73,40,8.135,3.5,39.0,72.62971470666335,High
8.05,9.85,6.31,1.33,0.51,13,441,2,52.46,80,6.135,3.0,65.5,64.94605475590008,Medium
7.45,6.68,6.65,1.88,1.64,12,31,12,80.27,42,6.859999999999999,6.5,69.5,58.541281079790274,Medium
2.26,6.88,3.5,4.89,2.46,7,412,14,84.89,54,6.995,7.5,44.5,56.725978832748666,Medium
5.86,3.75,0.67,1.67,0.33,10,397,6,77.38,63,7.005,3.0,40.5,71.37683999968701,Medium
0.81,4.1,3.89,1.06,0.55,4,40,19,98.56,37,7.065,8.5,84.0,61.51634885295295,Medium
4.68,5.69,0.58,3.95,4.9,5,206,13,66.29,34,8.36,7.0,40.0,51.77684203420052,Medium
7.28,9.89,3.98,4.62,1.61,11,280,5,58.43,58,8.345,3.0,78.5,72.87127638940214,High
4.44,4.14,3.98,1.05,5.61,1,108,3,42.08,81,6.824999999999999,3.0,74.5,52.68235902334009,Medium
1.62,4.2,6.54,1.51,3.1,11,313,17,54.8,83,6.095,3.5,31.5,81.95754635546363,High
1.08,7.04,4.37,0.19,5.43,4,175,5,82.3,43,6.625,3.0,53.0,43.566887197226265,Low
8.61,10.16,0.81,0.18,4.64,13,0,19,58.35,89,7.855,7.5,27.5,71.58268678628158,Medium
8.97,6.29,3.66,0.33,1.08,1,185,4,58.51,32,8.035,3.0,87.0,70.7357993816436,Medium
3.76,1.98,5.86,0.34,4.72,3,440,15,82.53,83,6.785,2.0,47.5,68.66193255560646,Medium
2.06,11.03,0.83,4.67,2.7,4,22,5,74.69,81,5.985,5.0,76.5,55.76158150898031,Medium
9.8,5.92,3.92,3.53,2.14,11,362,12,65.86,63,7.814999999999999,2.5,47.0,100.0,High
5.69,9.4,4.04,1.62,2.42,12,178,18,43.6,84,6.88,5.0,70.5,83.63609040287356,High
5.03,1.0,7.45,0.68,0.39,5,65,9,48.08,42,5.745,6.5,64.0,52.28195432547002,Medium
7.55,10.12,6.22,5.71,5.9,1,254,0,67.25,82,7.484999999999999,5.5,75.0,57.729306117814616,Medium
2.1,1.17,1.96,2.24,2.13,12,80,11,75.35,68,5.33,5.0,60.5,71.15981593803664,Medium
6.01,11.63,6.46,0.08,4.11,6,401,9,63.81,36,6.365,2.0,35.5,54.85115498829169,Medium
8.96,10.74,3.43,0.1,5.73,14,381,1,54.2,72,7.46,2.0,57.0,85.74112973271383,High
0.72,3.57,3.99,1.28,2.6,10,163,1,90.55,61,6.984999999999999,4.0,57.5,46.37316118835695,Low
6.89,3.07,2.96,4.83,3.61,6,134,15,83.12,78,5.915,7.0,44.0,72.45693914998206,High
5.74,9.51,0.73,4.75,5.17,3,384,3,94.18,77,8.235,6.0,79.0,59.35721988432224,Medium
9.53,2.24,7.92,0.14,1.74,13,488,18,95.05,81,6.845,7.0,89.5,86.99158968507696,High
2.96,10.49,0.69,1.21,1.0,10,386,12,79.32,48,7.58,5.5,66.5,63.35544909320725,Medium
8.66,0.87,0.67,4.43,0.3,4,230,3,63.66,53,6.654999999999999,3.0,15.5,100.0,High
3.44,7.99,0.96,0.44,1.57,12,358,17,68.56,63,6.734999999999999,3.0,35.0,79.61090551861348,High
4.58,3.49,2.21,2.49,1.79,7,134,16,43.89,31,7.51,6.5,76.5,66.82947646176416,Medium
2.53,10.19,4.36,5.76,4.01,12,254,18,46.98,73,7.52,6.0,87.0,82.41327024945386,High
8.7,4.84,6.2,3.47,3.24,8,387,19,55.66,53,5.575,4.0,86.0,73.34259949951834,High
2.36,5.48,6.11,2.59,1.58,9,57,8,50.0,97,6.34,4.5,80.5,75.51843150578907,High
8.66,2.17,4.02,5.76,5.1,3,494,4,46.99,31,5.8100000000000005,5.0,32.0,65.26308598252166,Medium
4.83,7.7,6.77,3.04,3.35,4,474,14,67.07,62,7.515000000000001,5.0,24.5,68.0302589858565,Medium
8.43,5.91,0.17,3.61,0.06,11,453,15,72.39,81,7.49,5.5,37.5,95.48556737224769,High
3.01,0.6,0.32,3.07,0.03,3,293,15,89.17,57,7.07,2.5,74.5,99.35602281709058,High
1.76,8.9,5.17,4.5,3.1,5,86,18,70.74,67,6.875,6.0,77.0,69.06756648468775,Medium
5.77,1.97,3.72,1.99,4.4,10,85,9,68.43,31,8.35,3.0,35.5,67.03801517601582,Medium
5.34,6.55,4.04,0.91,0.27,9,338,15,59.29,80,5.8100000000000005,6.0,67.5,64.86825504784856,Medium
3.89,6.7,1.74,2.83,4.86,5,141,4,88.22,87,5.35,7.5,37.5,55.20303880391503,Medium
6.8,3.94,6.7,4.4,0.51,13,299,2,80.22,45,5.69,2.0,78.0,71.38152178747622,Medium
1.4,3.13,4.03,2.8,4.7,2,350,18,50.76,53,4.865,6.0,27.5,54.48118130995068,Medium
6.41,4.08,1.69,1.21,0.03,2,440,15,71.85,59,5.25,6.5,68.5,84.79223182134758,High
2.51,5.08,1.11,0.9,2.23,7,397,4,49.54,64,7.25,2.5,31.5,70.78784188854543,Medium
1.73,11.24,7.96,5.83,2.45,6,449,19,82.4,40,8.584999999999999,7.5,81.5,49.37638640843331,Low
9.14,8.2,5.82,5.53,4.95,1,91,12,58.59,42,5.970000000000001,8.5,48.5,43.71928309150642,Low
4.87,11.6,4.26,1.87,0.91,11,100,4,71.51,34,7.845000000000001,7.5,56.5,48.79915493436236,Low
7.75,1.48,4.53,5.78,0.86,4,328,1,40.99,88,8.175,6.5,100.0,78.50627985228073,High
1.35,1.02,0.88,3.72,5.99,11,382,2,91.54,95,7.904999999999999,4.5,55.0,82.52325318731094,High
1.05,1.17,5.77,1.85,1.75,11,388,10,63.74,36,6.3,7.0,43.0,40.36432382160468,Low
5.2,10.38,7.35,1.83,3.93,7,194,3,41.07,60,6.574999999999999,4.0,65.5,52.313082761673805,Medium
3.5,10.09,7.18,5.4,2.19,5,323,12,44.34,94,6.9,3.0,19.0,65.70640878137318,Medium
0.55,5.54,6.3,2.22,0.79,8,133,3,88.38,59,7.81,7.5,80.5,58.08530754521131,Medium
2.24,5.51,5.22,0.47,0.47,14,338,7,87.12,36,6.74,4.5,90.0,57.46651290703864,Medium
2.58,5.42,2.14,4.44,0.85,10,100,7,47.95,89,6.19,2.5,82.5,62.29956072258161,Medium
3.24,11.36,2.76,0.88,4.33,12,157,2,83.02,71,6.945,6.5,53.0,51.0135837970769,Medium
8.84,3.51,6.65,4.15,5.31,6,242,2,72.73,72,5.695,8.5,98.5,50.53251046799621,Medium
4.5,8.76,5.73,4.16,5.57,14,159,0,85.49,96,7.08,3.0,19.0,66.71864244483616,Medium
6.95,1.76,7.92,3.42,0.04,12,4,9,56.13,44,8.14,3.0,62.5,81.31488343087375,High
0.67,3.51,0.68,3.44,3.06,9,410,6,44.29,94,8.535,3.0,40.0,66.46723411579983,Medium
8.23,7.38,2.78,2.1,3.01,8,311,18,48.78,63,6.57,4.5,54.5,91.04596032692646,High
2.78,7.37,7.04,2.47,0.85,5,413,0,96.06,52,6.58,6.0,74.5,34.860942428355266,Low
3.44,6.87,0.21,0.73,3.54,2,119,0,53.95,40,7.31,5.0,33.5,52.277052922969474,Medium
0.93,1.92,2.69,3.33,3.1,6,420,5,97.26,68,5.835,7.0,36.0,51.46186185741028,Medium
4.39,9.18,7.79,4.9,5.61,8,311,2,68.68,52,6.555,6.0,59.0,26.467670502946056,Low
8.6,8.68,4.37,0.18,0.32,2,310,19,66.9,94,7.59,7.0,24.0,90.49117231753698,High
4.1,8.33,2.47,4.25,3.59,10,118,8,98.13,63,8.23,3.5,38.5,66.50677435363913,Medium
9.13,1.99,7.44,0.81,0.04,13,389,14,52.46,58,7.105,5.5,63.5,89.7662999269643,High
8.74,3.04,2.78,4.79,3.01,1,439,3,82.68,46,7.125,3.5,59.5,89.41182861055111,High
1.09,10.97,1.07,0.01,5.13,9,251,6,47.43,73,7.72,3.0,87.5,53.84458215355806,Medium
3.4,6.05,4.63,0.46,2.8,6,225,6,92.17,49,5.425,6.0,64.0,55.3589948528739,Medium
